k,a,b,xk,f(xk),epsilon
0,-2,-0.5,-0.994299,0.175108,-
1,-2,-0.994299,-1.23667,0.0375927,0.195988
2,-2,-1.23667,-1.28539,0.00500767,0.0378975
3,-2,-1.28539,-1.29182,0.000604084,0.00497794
4,-2,-1.29182,-1.29259,7.19107e-005,0.000599481
5,-2,-1.29259104898,-1.29268327975,8.54658939325e-006,7.13483e-005
6,-2,-1.29268327975,-1.29269424121,1.01556906745e-006,8.47955e-006
7,-2,-1.29269424121,-1.29269554373,1.20674702841e-007,1.0076e-006
8,-2,-1.29269554373,-1.2926956985,1.43390982976e-008,1.19728e-007
9,-2,-1.2926956985,-1.29269571689,1.70383412934e-009,1.42266e-008
10,-2,-1.29269571689,-1.29269571908,2.02457051124e-010,1.69046e-009
11,-2,-1.29269571908,-1.29269571934,2.40568120979e-011,2.00868e-010
12,-2,-1.29269571934,-1.29269571937,2.85843571035e-012,2.38681e-011
