chunk,threads,setsize,time
1000,2,4,0.001000
1000,2,4,0.001000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.001000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.001000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.001000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.002000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.001000
1000,2,4,0.000000
1000,2,4,0.000000
1000,2,4,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,8,0.001000
1000,2,8,0.000000
1000,2,8,0.000000
1000,2,12,0.001000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.001000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.001000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.001000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.002000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.001000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.000000
1000,2,12,0.002000
1000,2,12,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,16,0.001000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.000000
1000,2,16,0.001000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.003000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.007000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.001000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.002000
1000,2,20,0.001000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.000000
1000,2,20,0.001000
1000,2,20,0.001000
1000,2,20,0.000000
1000,2,24,0.001000
1000,2,24,0.001000
1000,2,24,0.003000
1000,2,24,0.002000
1000,2,24,0.003000
1000,2,24,0.001000
1000,2,24,0.000000
1000,2,24,0.001000
1000,2,24,0.001000
1000,2,24,0.002000
1000,2,24,0.001000
1000,2,24,0.000000
1000,2,24,0.002000
1000,2,24,0.001000
1000,2,24,0.000000
1000,2,24,0.001000
1000,2,24,0.003000
1000,2,24,0.001000
1000,2,24,0.001000
1000,2,24,0.002000
1000,2,24,0.002000
1000,2,24,0.002000
1000,2,24,0.003000
1000,2,24,0.010000
1000,2,24,0.004000
1000,2,24,0.001000
1000,2,24,0.000000
1000,2,24,0.000000
1000,2,24,0.000000
1000,2,24,0.002000
1000,2,28,0.003000
1000,2,28,0.003000
