best_training_loss,best_training_loss_epoch,best_validation_loss,best_validation_loss_epoch,best_training_acc,best_training_acc_epoch,best_validation_acc,best_validation_acc_epoch,final_validation_loss,final_validation_acc,final_training_loss,final_training_acc,learning_rate,hidden_neurons,hidden_activation,output_activation,elapsed_seconds
0.3417150061817444,9999,0.33481692824788695,9999,0.2647058823529412,0,0.4,4092,0.33481692824788695,0.3333333333333333,0.3417150061817444,0.23529411764705882,0.001,5,sigmoid,sigmoid,21.475066900253296
0.3052082729588119,9999,0.3580409632315847,9999,0.5,8161,0.4,9214,0.3580409632315847,0.3333333333333333,0.3052082729588119,0.5,0.001,5,sigmoid,sigmoid,20.916351079940796
0.318951194209069,9999,0.34515293825579235,9999,0.47058823529411764,9831,0.3333333333333333,0,0.34515293825579235,0.3333333333333333,0.318951194209069,0.47058823529411764,0.001,5,sigmoid,sigmoid,21.445372343063354
0.3375740156290964,9999,0.34028597890901346,9999,0.5294117647058824,6345,0.4,5766,0.34028597890901346,0.4,0.3375740156290964,0.35294117647058826,0.001,5,sigmoid,sigmoid,22.05936598777771
0.33905485507614896,9999,0.31700077559739603,9999,0.5,7219,0.6,4451,0.31700077559739603,0.6,0.33905485507614896,0.5,0.001,10,sigmoid,sigmoid,23.640803337097168
0.32082758090563024,9999,0.29818656019061673,9999,0.5,2242,0.6,1837,0.29818656019061673,0.4666666666666667,0.32082758090563024,0.35294117647058826,0.001,10,sigmoid,sigmoid,22.77013659477234
0.2835988426747612,9999,0.38836202183179575,9999,0.6470588235294118,2705,0.4666666666666667,1087,0.38836202183179575,0.26666666666666666,0.2835988426747612,0.6176470588235294,0.001,10,sigmoid,sigmoid,22.575404167175293
0.3158997024773912,9999,0.3024999604725622,9999,0.5294117647058824,497,0.6,0,0.3024999604725622,0.4666666666666667,0.3158997024773912,0.5294117647058824,0.001,10,sigmoid,sigmoid,22.336103916168213
0.27485761461586206,9999,0.26125648437248156,9999,0.6176470588235294,6901,0.6666666666666666,446,0.26125648437248156,0.6666666666666666,0.27485761461586206,0.6176470588235294,0.001,15,sigmoid,sigmoid,22.193265438079834
0.3039157157319406,9999,0.29052513196525553,9999,0.5588235294117647,7457,0.6,995,0.29052513196525553,0.6,0.3039157157319406,0.5588235294117647,0.001,15,sigmoid,sigmoid,22.822248935699463
0.4233623236113856,9999,0.44406064787610217,6441,0.4117647058823529,8805,0.3333333333333333,3511,0.44636090820641283,0.3333333333333333,0.4233623236113856,0.4117647058823529,0.001,15,sigmoid,sigmoid,23.02077317237854
0.2649596988407269,9999,0.33461733606434063,9999,0.7352941176470589,9745,0.5333333333333333,2962,0.33461733606434063,0.5333333333333333,0.2649596988407269,0.7352941176470589,0.001,15,sigmoid,sigmoid,22.592450857162476
